filename,role,company,salary,application-date,interview-date,end-date,status,source-url
"1KOMMA5° Solution Engineer","Solution Engineer","1KOMMA5°","95000","2025-12-16","","2026-03-23","rejected","https://1komma5grad.jobs.personio.de/job/2425610?display=de&language=de"
"50Hertz Advisor Cooperation","Advisor Cooperation","50Hertz","","2025-12-09","","2025-12-17","rejected","https://www.stepstone.de/jobs----13356184-inline.html?cid=Listing_Shared_iOS"
"AMCS Business Analyst","Business Analyst","AMCS","","2025-08-08","","2025-09-26","ghosted","https://www.linkedin.com/jobs/view/4271714651/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=0VZtm9-3gmdXU1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-jobcard_body&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-jobcard_body-null-55irmn~me1pasya~sh-null-null&eid=55irmn-me1pasya-sh&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWUyYmM4NmNiZDI0MjljYTk4NzYxNzljMjA1NmI0NzUyNWJmMWYzZGY5Mzg5MWJkYWVkZTM1YmZkM2RkNzRmOGVmNjU5YWNmMDA5NWE1ODMxMzhhMTFlY2UsMSwx"
"AON Senior Business Analyst EMEA","Senior Business Analyst EMEA","AON","","2025-08-04","","2025-08-14","rejected",""
"50Hertz Data Governance Manager","Data Governance Manager","50Hertz","","2025-08-11","","2025-08-15","rejected","https://karriere.50hertz.com/offer/data-governance-manager-digitizatio/33e4e29a-18ba-4ad7-b52d-2f76a538687f"
"Accure Head of Product","Technical Head of Product","ACCURE Battery Intelligence GmbH","90000","2026-03-09","2026-03-27","2026-04-01","rejected","https://app.instaffo.com/candidate/job/21bf8e41-4392-46c9-ae38-08502d815d33?chat=1"
"Accenture Consultant R&D Strategie & Transformation","Consultant R&D Strategie & Transformation","Accenture","","2025-11-05","","2025-12-04","rejected","https://www.accenture.com/de-de/careers/jobdetails?id=R00277985_de&title=Consultant%20R%26D%20Strategie%20%26%20Transformation%20(all%20genders)"
"Accenture Manager Digital Grid","Manager Digital Grid","Accenture","","2025-11-05","","2026-01-20","rejected","https://www.accenture.com/de-de/careers/jobdetails?id=R00275495_de&title=Manager%20Digital%20Grid%20(all%20genders)"
"Amadeus Fire Data Scientiest Data Engineer","Data Engineer","Amadeus Fire","90000","2026-04-01","","2026-04-02","rejected","https://www.stepstone.de/stellenangebote--Data-Scientist-Data-Engineer-m-w-d-Berlin-Duesseldorf-Hamburg-Norderstedt-Hannover-Hildesheim-Koeln-Mannheim-Muenchen-Stuttgart-Amadeus-Fire-AG--13841925-inline.html"
"Arise GmbH Technical Product Manager (m-f-d) with a Focus on Platforms","Technical Product Manager (m/f/d) with a Focus on Platforms","Arise GmbH","90000","2026-01-26","","2026-02-03","rejected","https://app.instaffo.com/candidate/job/cfb5d486-5928-42a3-b666-182e4b59c99f?chat=1"
"Aroundhome Product Analyst","Product Analyst","Aroundhome","","2025-08-05","","2025-08-11","rejected","https://www.linkedin.com/jobs/view/4280079945"
"Akkodis System Architect","System Architect","Akkodis","100000","2025-05-03","","2025-05-09","ghosted","https://www.linkedin.com/jobs/view/4213520616/?trackingId=d2v0XLMsSGqmpFWF17A0xA%3D%3D&refId=FTNye9eIRp25ULKdHMZ8SQ%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=30AcaUUJrx6bM1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~ma7ytq7n~i8-null-null&eid=55irmn-ma7ytq7n-i8&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOGU1YjI4ZWNmZDk0MTkxYWY4NzYxNzljMjA1NmI0NzUyNWJmMWYzZGY5M2ExNGFmMGMwZGY2NGFiNmE5NzdlZmJjYzMwZjZhYjk5YzA3NDdjMDk3NTUwMTYsMSwx"
"BCG Analyst - BCG Vantage - Power & Utilities, Energy Networks","Analyst - BCG Vantage - Power & Utilities, Energy Networks","BCG","","2025-08-05","","2025-08-15","rejected",""
"Barmer Data Engineer Fokus KI & Cloud-Data-Infrastruktur","Data Engineer","Barmer","85000","2026-04-02","","","waiting","https://jobs.barmer.de/index.php?ac=jobad&id=4171"
"Accenture Microsoft Fabric & BI Senior Consultant","Microsoft Fabric & BI Senior Consultant","Accenture","","2025-11-05","","2025-11-10","rejected","https://www.accenture.com/de-de/careers/jobdetails?id=R00269969_de&title=Microsoft%20Fabric%20%26%20BI%20Senior%20Consultant%20(all%20genders)"
